name,x,y
71,-7.8173966,5.2986264
72,7.5771985,-7.962351
73,5.0896335,-8.698972
74,4.374308,-9.226599
75,9.771643,7.7008543
76,1.9003718,-0.22937825
77,17.049797,-0.1591779
78,3.13456,-8.677792
79,-2.722366,-3.9570906
80,-18.283411,0.051564276
81,-2.0089233,12.793961
82,-0.18358801,-0.7446675
83,-13.323269,4.0651646
84,-13.221638,-13.452985
85,-12.763129,-7.8010716
86,-1.3182416,-1.8493316
87,-15.781884,-6.639005
88,-1.2493652,13.046972
89,-14.326013,-10.257548
90,-5.174347,-17.174612
91,18.3287,-4.122697
92,7.8461523,19.333864
93,18.880033,-8.499395
94,8.685894,12.191325
95,-7.6464586,6.6347055
96,8.653661,-2.5467927
97,18.069347,13.991271
98,-10.031506,-7.0443244
99,-0.36254615,10.677905
100,12.4957695,16.41765
101,-7.7589326,1.3184471
102,19.391592,3.784511
103,-9.860702,-4.29295
104,-1.3183867,-1.8486184
105,-9.759836,-14.0116415
106,-5.7203903,-7.651795
107,0.0076356083,12.997704
108,-8.050062,-8.717297
109,-7.4996386,6.8952556
110,9.182602,0.47977912
111,-5.8963084,-10.062791
112,8.538165,-7.0186677
113,2.0944448,-15.583838
114,-0.9496769,11.9986725
115,-1.7252835,-12.986858
116,5.9663563,-8.43003
117,8.310715,-8.760327
118,-7.5155396,7.0684276
119,-1.0409023,-9.984949
120,7.90896,-12.674328
121,-7.7109413,7.327119
122,-1.8493096,12.378795
123,22.506075,-16.246727
124,-0.64088964,12.854613
125,15.401516,-10.413242
126,-2.3729432,3.4065485
127,18.556114,-13.045125
128,5.073918,-2.2272534
129,2.6598234,-7.6619954
130,11.1985,-15.035629
131,-7.562697,6.706898
132,3.911277,-13.31924
133,14.869615,-14.531947
134,12.657291,-5.347954
135,13.073662,-19.52428
136,-1.8093317,13.482492
137,2.8861227,-9.083654
138,-1.36406,12.716747
139,6.2601976,-15.456755
140,-7.8179107,7.3791065
141,-0.7080893,-9.09555
142,3.6177828,-6.15219
143,-1.4279078,13.870453
144,1.5315922,-8.488179
145,3.3605485,3.4512525
146,-1.3017743,12.004836
147,0.98772585,-12.91758
148,14.783336,-2.910929
149,-7.4595447,-5.8890014
150,-7.270979,-3.2449396
151,0.57687294,-7.6313972
152,-0.15335903,13.355711
153,-8.285191,6.7850695
154,0.38845107,4.20312
155,17.808678,-18.79223
156,3.0839741,-6.121618
157,5.0858674,-8.702145
158,-8.2177925,7.269853
159,-2.8838487,-9.520134
160,3.7197087,-6.190385
161,5.087741,-8.696887
162,4.304114,-8.614584
163,-10.664764,-10.699724
164,-7.598956,-11.823221
165,-0.99346733,12.53351
166,-10.664134,-10.699604
167,-8.174786,6.677532
168,-10.665245,-10.699396
169,17.731617,8.244411
170,26.943846,-7.984516
171,-2.8862956,-9.517375
172,12.789831,0.1590736
173,-4.625759,1.7810516
174,-8.340927,7.064546
175,-0.2470997,13.582581
176,9.532218,-6.250357
177,-0.30077016,12.329778
178,-8.06922,7.3664722
179,26.270733,-1.8307459
180,-2.1912417,-18.551367
181,-2.6791654,-4.58969
182,-0.6284018,13.885308
183,7.5692096,3.762032
184,13.295247,11.222661
185,-6.7320027,-14.440366
186,-0.7427612,13.129631
187,24.516329,3.6075277
188,-1.8695542,13.556562
189,-8.588085,-17.080853
190,11.408906,-2.77287
191,-5.760581,-20.593822
192,-0.56191736,12.15864
193,-2.040619,12.979488
194,-14.3289,0.64562654
195,6.0044813,7.1506023
196,-1.1468139,13.213035
197,11.971616,-11.412571
198,-2.6433153,-6.0512834
199,-1.6301396,12.194719
200,11.120251,3.5218954
201,-7.9819727,6.576408
202,9.52952,-6.2521815
203,-0.8167795,13.828152
204,1.8995727,-0.2321547
205,-2.8859017,-9.517301
