,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
github/jiujiezz/tsnad,-2.0615635,2.613212,-4.5510135,0.49974892,3.599584,-1.5468439,0.038040042,0.11783563,0.10735005,-0.56231385,-0.22274783,2.0119624,-1.5120863,-2.315633,-2.1701035,2.500102,-3.1897037,0.2193975,-1.3611562,2.1729817,2.4785404,0.011406939,-2.4377296,-1.7469758,3.5903327,0.28059044,-0.7537753,-2.5573366,-1.1633372,0.36642697,2.7039843,-2.2943995,-1.6699158,0.88040125,-0.5382267,-1.4494236,0.8554206,-2.137907,-0.66117084,0.86577624,-1.639048,-3.954531,-0.2645424,-2.0572324,-0.9937876,-2.477932,0.23739596,-3.198651,3.0440962,4.6179485
github/twopin/CAMP,0.28478217,-1.1504229,-3.5707853,1.4830921,1.1980537,-0.3152873,-1.9613637,1.3001745,4.555999,-3.1088662,-0.6236333,0.7671449,-1.8178655,-1.0570687,-1.1379367,-0.30359137,0.51231605,2.2771103,0.28408802,1.6324226,2.8496668,-0.70838904,-2.7051756,0.30631033,-0.45594344,2.9363878,0.45183763,-2.016669,-3.2808976,0.4379668,0.18083212,0.6653366,-2.0172474,1.7779013,0.15790513,0.39420798,-1.9871514,-0.06725564,-1.5026604,-0.28423712,-0.83867437,-1.7312113,2.5889845,-1.8936102,-1.990884,-1.7028874,-0.8741992,-2.7759671,2.6673,1.3905759
github/kkjawz/coref-ee,-0.6717099,2.3099189,0.37604874,1.5924964,1.0139986,-1.2239628,-0.47779837,0.12582527,1.1506137,-3.1335359,1.7247584,0.15384656,-0.6788506,0.6380986,-0.4768943,-2.8885784,-0.12703018,2.8769643,0.27175295,1.2620244,-0.25365433,-0.2958532,-1.6207299,1.3251805,-1.1100577,-0.9137047,0.08455008,-0.41643667,1.1276517,-2.2829857,0.45083117,-0.39242673,-1.6858809,1.462996,-0.94615054,-1.0327656,1.1559464,-1.1808594,0.17428051,-0.39631236,2.5857027,-1.5997274,0.60486954,-3.4397857,-2.0693152,-1.3887465,-0.027294217,-2.955135,0.22028804,-0.9405092
github/ekaterinailin/AltaiPony,0.5515057,-1.01675,0.6818779,-0.054331265,-0.73591137,0.15942319,-0.250933,0.9619674,-1.2422005,-0.02363998,0.8616792,0.13017778,-0.25540686,0.20385627,0.61841846,0.7282277,-0.53096884,0.48773268,0.110159226,0.3295377,-0.14683555,-0.44081375,-0.43695632,-1.1611781,0.35453105,-0.38336444,-0.29192525,-0.43012995,-0.8729142,0.5776906,0.09810925,0.46042165,-0.24674748,0.9743281,-0.018215343,1.4960469,-0.03543906,-1.0062636,-0.19093321,-0.46881178,-0.6782407,-0.18430388,0.27700815,-1.1269082,-0.4853068,0.8987621,0.5342875,-0.76938266,0.2037128,0.6985556
github/csbioinfopk/iSumoK-PseAAC,-0.21114343,0.78864104,-1.2661659,0.14279303,0.2898738,0.2919817,0.27402115,1.3467982,0.007757017,-1.1848999,0.7981936,0.95625055,-0.16046904,0.92964315,1.3768466,-0.0049080607,-1.0606086,1.4284978,0.6861005,1.9733086,-0.14694756,-2.0749793,0.4023024,-0.93750614,-0.49508545,0.07792168,2.6663132,-0.6374369,-0.014163175,-2.4130507,0.19171305,0.17854516,-0.936728,0.6273535,2.721873,0.47566837,-2.5043259,-2.9759192,-3.0057364,0.6611452,-0.058369584,-1.2931523,0.5683773,-1.4081787,-1.2078485,-0.26104072,1.7408506,-1.0899148,-0.3382419,0.68560314
github/wdecoster/nanopack,-1.5628202,-0.6273471,0.6371309,-0.003948328,0.3806947,-1.1513128,0.16414192,2.7513156,-0.3087345,1.478541,2.685153,1.7751979,-0.5666442,-1.3986574,1.4250057,0.64533454,-1.3761667,-0.037417933,-2.3339517,2.9298608,2.5969548,1.474019,0.019074796,-1.1774069,1.1094803,1.822001,-0.2655366,-1.8845918,-2.1506698,-0.78435475,-0.47061414,-0.0564169,-1.5766679,0.81292886,-1.1396505,1.3933297,-0.5909656,-1.1410996,-1.1209944,-2.0553427,-0.08403904,-0.18961895,1.4243363,-2.7157898,1.8281356,-0.7296313,-0.8877754,-0.19661574,0.69085646,3.1605415
github/upb-lea/openmodelica-microgrid-gym,-0.5310907,0.9304338,2.6030922,-1.2185011,-3.01348,-4.076156,1.9718753,4.013918,-0.2101533,-3.3661819,2.0427895,3.1953015,-1.1387016,3.5868726,-0.14346892,3.7898724,2.577172,-0.25180882,0.34861162,1.1208956,-1.7634456,1.4551058,-0.6242203,2.8123844,-0.9672119,-0.38837528,0.10171539,-1.6562154,1.5527376,2.9629788,0.6012276,0.50231695,0.6436307,-0.29513982,0.014063229,1.7160512,-5.470689,-3.5806477,0.8829151,2.4678254,3.7325947,-1.3493987,-1.0925047,-1.5314541,-1.442976,-1.3321115,5.196177,-1.0779877,0.7180933,-2.0381534
github/upb-lea/gym-electric-motor,0.4973625,-0.229882,2.605124,0.03497876,-2.4284234,-5.265115,-0.91893846,2.0563524,-0.23452254,-1.5634434,0.6496104,2.0943155,1.6197084,2.9352844,2.3139997,3.4413748,0.6408606,-2.6559613,1.1504333,1.1664814,0.73163563,1.0778017,-2.5413485,1.3073215,-1.8568873,1.0752485,0.17970581,-2.7446597,2.8982239,3.6634707,-0.95439917,1.574567,1.6402618,-1.2067665,-1.166389,2.4154248,-2.8865147,-2.046129,-1.0438809,1.1070954,3.1688066,1.9077086,-2.3907905,-2.5782793,-2.4166763,-0.4576844,2.7018406,-3.9329348,-0.07035327,-2.6007254
github/cobilab/RFSC,-0.74951756,0.7561074,-0.28644252,1.3575697,1.3722991,0.07853524,1.3504897,0.41723862,-1.1768299,-1.0532966,0.14454034,0.4617369,-0.43753934,-1.9257586,-0.07949514,-0.52875865,-1.163274,1.7394396,-1.1948955,1.6711091,0.262709,-1.3178647,-0.35858303,-0.50099313,-0.84770054,-0.91323185,-0.15286271,-0.20796265,-3.6374145,-1.5426669,-1.6909128,-1.745679,-0.8948925,2.1292233,-0.62194353,-1.475136,-0.04221705,-1.8875778,-0.7033263,-2.879869,0.76762664,-0.33401826,0.13167018,0.47622246,1.0449085,-0.8424532,-0.66100067,0.21131332,-0.12048516,3.0424564
github/hsci-r/finnish-media-scrapers,-3.6541898,0.86411756,2.5590322,-1.0024105,4.3873825,-3.2706988,2.7040503,3.60882,-5.137116,0.67877674,2.3057256,-3.8986917,-0.47264898,-3.1050715,0.5987525,0.58010364,0.4536927,-1.0351956,3.6437309,-2.0590005,-0.6642964,-3.7427428,-0.7374774,2.6019838,0.43755105,-2.5632174,-3.1968732,-0.8962418,0.5729362,-1.431472,-0.5955973,-0.59692746,2.095824,3.5510547,2.0264826,0.6615028,-1.9055642,1.036458,-3.8386152,-1.7953306,-6.5921016,0.0938926,1.6155233,-3.2094216,1.7696837,-0.19137098,-2.7949848,-1.6624726,-1.4698808,0.8632953
